Opening Name	White Wins	Draws	Black Wins	FEN	PGN
2 Knights Defence-Gruber Variation-Fegatello Attack-Lolli Attack	171922	9834	119521	r1bqkb1r/ppp2ppp/2n5/3np1N1/2BP4/8/PPP2PPP/RNBQK2R b KQkq - 0 6	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Nxd5 6 d4
2 Knights Defence-Fegatello Attack-Lolli Attack-Pincus Variation	3859	180	2139	r1bqk2r/ppp2ppp/2n5/3np1N1/1bBP4/8/PPP2PPP/RNBQK2R w KQkq - 1 7	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Nxd5 6 d4 Bb4+
2 Knights Defence-Gruber Variation-Fegatello Attack-Fried Liver Attack	2247648	86921	902870	r1bqkb1r/ppp2Npp/2n5/3np3/2B5/8/PPPP1PPP/RNBQK2R b KQkq - 0 6	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Nxd5 6 Nxf7
2 Knights Defence-Fegatello Attack-Fried Liver Attack-Leonhardt Variation	551	55	710	r1bq1b1r/ppn3pp/2p1k3/3np3/2BPQ3/P1N5/1PP2PPP/R1B1K2R w KQ - 1 12	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Nxd5 6 Nxf7 Kxf7 7 Qf3+ Ke6 8 Nc3 Ncb4 9 Qe4 c6 10 a3 Na6 11 d4 Nac7
2 Knights Defence-Fegatello Attack-Fried Liver Attack-Polerio Defence	137758	6737	91997	r1bq1b1r/ppp1n1pp/4k3/3np3/2B5/2N2Q2/PPPP1PPP/R1B1K2R w KQ - 4 9	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Nxd5 6 Nxf7 Kxf7 7 Qf3+ Ke6 8 Nc3 Nce7
Italian Game-2 Knights Defence-Knight Attack-Ponziani-Steinitz Gambit	349601	22176	399571	r1bqkb1r/pppp1ppp/2n5/4p1N1/2B1n3/8/PPPP1PPP/RNBQK2R w KQkq - 0 5	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 Nxe4
King's Pawn-King's Knight Opening-Inverted Hungarian/Tayler Opening	763403	70297	760686	r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPPBPPP/RNBQK2R b KQkq - 3 3	1 e4 e5 2 Nf3 Nc6 3 Be2
King's Pawn-King's Knight Opening-Inverted Hungarian Opening-Inverted Hanham Variation	33563	3730	30020	r1bqkb1r/ppp2ppp/2n2n2/3pp3/4P3/3P1N2/PPPNBPPP/R1BQK2R b KQkq - 1 5	1 e4 e5 2 Nf3 Nc6 3 Be2 Nf6 4 d3 d5 5 Nbd2
King's Pawn-King's Knight Opening-Inverted Hungarian Opening-Tayler Opening	6812	640	7065	r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/5N2/PPP1BPPP/RNBQK2R b KQkq - 0 4	1 e4 e5 2 Nf3 Nc6 3 Be2 Nf6 4 d4
King's Knight Opening-Inverted Hungarian Opening-Tayler Opening-Basman Gambit	1303	100	1212	r1bqkb1r/pppp1ppp/2n2n2/4P3/3p4/5N2/PPP1BPPP/RNBQK2R b KQkq - 0 5	1 e4 e5 2 Nf3 Nc6 3 Be2 Nf6 4 d4 exd4 5 e5
King's Pawn-King's Knight Opening-Ponziani Opening	6043256	482327	5637813	r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3	1 e4 e5 2 Nf3 Nc6 3 c3
King's Pawn-King's Knight Opening-Ponziani Opening-Classical Variation	109317	7907	109389	r1bqk1nr/pppp1ppp/2n5/2b1p3/1P2P3/2P2N2/P2P1PPP/RNBQKB1R b KQkq - 0 4	1 e4 e5 2 Nf3 Nc6 3 c3 Bc5 4 b4
King's Pawn-King's Knight Opening-Ponziani Opening-Romanishin Variation	52969	4581	48475	r1bqk1nr/ppppbppp/2n5/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 1 4	1 e4 e5 2 Nf3 Nc6 3 c3 Be7
King's Pawn-King's Knight Opening-Ponziani Opening-Spanish Variation	39664	3482	44104	r1bqkbnr/ppp2ppp/2n5/1B1pp3/4P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 1 4	1 e4 e5 2 Nf3 Nc6 3 c3 d5 4 Bb5
King's Knight Opening-Ponziani Opening-Spanish Variation-Staunton Variation	15691	1563	19629	r1bqkbnr/ppp2ppp/2n5/1B2N3/4p3/2P5/PP1P1PPP/RNBQK2R b KQkq - 0 5	1 e4 e5 2 Nf3 Nc6 3 c3 d5 4 Bb5 dxe4 5 Nxe5
King's Knight Opening-Spanish Variation-Staunton Variation-Nikitin Gambit	1896	236	1917	r1b1kbnr/ppp2ppp/2n5/1B1qN3/Q3p3/2P5/PP1P1PPP/RNB1K2R b KQkq - 2 6	1 e4 e5 2 Nf3 Nc6 3 c3 d5 4 Bb5 dxe4 5 Nxe5 Qd5 6 Qa4
King's Knight Opening-Spanish Variation-Staunton Variation-Sozin Variation	1301	133	2137	r1b1kbnr/ppp2ppp/2n5/1B2N1q1/4p3/2P5/PP1P1PPP/RNBQK2R w KQkq - 1 6	1 e4 e5 2 Nf3 Nc6 3 c3 d5 4 Bb5 dxe4 5 Nxe5 Qg5
King's Pawn-King's Knight Opening-Ponziani Opening-Caro Variation	13463	1086	14867	r2qkbnr/pppb1ppp/2n5/3pp3/Q3P3/2P2N2/PP1P1PPP/RNB1KB1R w KQkq - 2 5	1 e4 e5 2 Nf3 Nc6 3 c3 d5 4 Qa4 Bd7
King's Knight Opening-Ponziani Opening-Caro Variation-Tartakower Variation	72	15	133	r2qk1nr/pppb2pp/3b4/3Ppp2/2B5/2PP1Q2/PP3PPP/RNB1K2R b KQkq - 0 9	1 e4 e5 2 Nf3 Nc6 3 c3 d5 4 Qa4 Bd7 5 exd5 Nd4 6 Qd1 Nxf3+ 7 Qxf3 f5 8 Bc4 Bd6 9 d3
King's Pawn-King's Knight Opening-Ponziani Opening-Bird Variation	38117	3223	30154	r1bqkbnr/ppp2ppp/2n5/4p3/Q3p3/2P2N2/PP1P1PPP/RNB1KB1R w KQkq - 0 5	1 e4 e5 2 Nf3 Nc6 3 c3 d5 4 Qa4 dxe4
King's Pawn-King's Knight Opening-Ponziani Opening-Steinitz Variation	10017	1134	11440	r1bqkbnr/ppp3pp/2n2p2/3pp3/Q3P3/2P2N2/PP1P1PPP/RNB1KB1R w KQkq - 0 5	1 e4 e5 2 Nf3 Nc6 3 c3 d5 4 Qa4 f6
King's Pawn-King's Knight Opening-Ponziani Opening-Leonhardt Variation	9158	721	10075	r1bqkb1r/ppp2ppp/2n2n2/3pp3/Q3P3/2P2N2/PP1P1PPP/RNB1KB1R w KQkq - 2 5	1 e4 e5 2 Nf3 Nc6 3 c3 d5 4 Qa4 Nf6
King's Pawn-King's Knight Opening-Ponziani Opening-Worrall Variation	2904	281	3028	r1b1kbnr/ppp2ppp/2nq4/3pp3/Q3P3/2P2N2/PP1P1PPP/RNB1KB1R w KQkq - 2 5	1 e4 e5 2 Nf3 Nc6 3 c3 d5 4 Qa4 Qd6
King's Pawn-King's Knight Opening-Ponziani Opening-Ponziani Countergambit	94450	7379	108899	r1bqkbnr/pppp2pp/2n5/4pp2/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 0 4	1 e4 e5 2 Nf3 Nc6 3 c3 f5
King's Knight Opening-Ponziani Opening-Ponziani Countergambit-Schmidt Attack	7138	490	6610	r1bqkbnr/ppp3pp/2np4/3Ppp2/4P3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 5	1 e4 e5 2 Nf3 Nc6 3 c3 f5 4 d4 d6 5 d5
King's Pawn-King's Knight Opening-Ponziani Opening-Jaenisch Counterattack	2845748	233856	2780392	r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 1 4	1 e4 e5 2 Nf3 Nc6 3 c3 Nf6
King's Knight Opening-Ponziani Opening-Jaenisch Counterattack-Neumann Gambit	1003621	72674	966005	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 2 4	1 e4 e5 2 Nf3 Nc6 3 c3 Nf6 4 Bc4
King's Knight Opening-Ponziani Opening-Jaenisch Counterattack-Modern Variation	891452	82923	934229	r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2PP1N2/PP3PPP/RNBQKB1R b KQkq - 0 4	1 e4 e5 2 Nf3 Nc6 3 c3 Nf6 4 d3
King's Knight Opening-Ponziani Opening-Jaenisch Counterattack-Pirc Variation	283247	25799	249603	r1bqkb1r/ppp2ppp/2np1n2/4p3/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 5	1 e4 e5 2 Nf3 Nc6 3 c3 Nf6 4 d4 d6
King's Knight Opening-Ponziani Opening-Jaenisch Counterattack-Gunsberg Variation	1031709	82841	955224	r1bqkb1r/pppp1ppp/2n2n2/8/3pP3/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 5	1 e4 e5 2 Nf3 Nc6 3 c3 Nf6 4 d4 exd4
King's Knight Opening-Ponziani Opening-Jaenisch Counterattack-Fraser Defence/Vukovic Gambit	17670	1371	22154	r1bqk2r/pppp1ppp/2n5/2bPp3/4n3/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 6	1 e4 e5 2 Nf3 Nc6 3 c3 Nf6 4 d4 Nxe4 5 d5 Bc5
King's Knight Opening-Ponziani Opening-Jaenisch Counterattack-Potter Variation	24911	1707	24646	r1bqkb1r/pppp1ppp/2n2n2/4p3/Q3P3/2P2N2/PP1P1PPP/RNB1KB1R b KQkq - 2 4	1 e4 e5 2 Nf3 Nc6 3 c3 Nf6 4 Qa4
King's Knight Opening-Ponziani Opening-Jaenisch Counterattack-Wayte Variation	172616	13130	172379	r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2P2N2/PPQP1PPP/RNB1KB1R b KQkq - 2 4	1 e4 e5 2 Nf3 Nc6 3 c3 Nf6 4 Qc2
King's Pawn-King's Knight Opening-Ponziani Opening-Réti Variation	14207	1071	12739	r1bqkb1r/ppppnppp/2n5/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 1 4	1 e4 e5 2 Nf3 Nc6 3 c3 Nge7
King's Pawn-King's Knight Opening-Italian Game-Dresden Opening	547518	51192	594276	r1bqkbnr/pppp1ppp/2n5/4p3/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3	1 e4 e5 2 Nf3 Nc6 3 c4
King's Pawn-King's Knight Opening-Dresden Opening-The Goblin	231	51	1042	r1bqkb1r/pppp1ppp/2n2n2/4N3/2P1P3/8/PP1P1PPP/RNBQKB1R b KQkq - 0 4	1 e4 e5 2 Nf3 Nc6 3 c4 Nf6 4 Nxe5
King's Pawn-King's Knight Opening-Torre Opening	3211775	325185	3531991	r1bqkbnr/pppp1ppp/2n5/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3	1 e4 e5 2 Nf3 Nc6 3 d3
King's Pawn-King's Knight Opening-Scotch Game	31675243	2713058	25417636	r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3	1 e4 e5 2 Nf3 Nc6 3 d4
King's Pawn-King's Knight Opening-Scotch Game-Lafitte Variation	39033	2510	26769	r1bqkbnr/1ppp1ppp/p1n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4	1 e4 e5 2 Nf3 Nc6 3 d4 a6
King's Pawn-King's Knight Opening-Scotch Game-Crown Variation	423186	28239	290347	r1bqk1nr/pppp1ppp/2n5/4p3/1b1PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4	1 e4 e5 2 Nf3 Nc6 3 d4 Bb4+
