Opening Name	White Wins	Draws	Black Wins	FEN	PGN
Queen's Pawn-Queen's Gambit Accepted-Normal Variation-Alekhine Defence	57486	6187	48184	rnbqkbnr/1pp1pppp/p7/8/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4	1 d4 d5 2 c4 dxc4 3 Nf3 a6
Queen's Gambit Accepted-Normal Variation-Alekhine Defence-Haberditz Variation	21044	2098	15767	rnbqkbnr/2p1pppp/p7/1p6/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 5	1 d4 d5 2 c4 dxc4 3 Nf3 a6 4 e3 b5
Queen's Gambit Accepted-Normal Variation-Alekhine Defence-Alatortsev Variation	16	1	9	rn1qkbnr/1pp2ppp/p3p3/3P4/2B3b1/4PN2/PP3PPP/RNBQK2R b KQkq - 0 6	1 d4 d5 2 c4 dxc4 3 Nf3 a6 4 e3 Bg4 5 Bxc4 e6 6 d5
Queen's Gambit Accepted-Normal Variation-Alekhine Defence-Borisenko-Furman Variation	9248	798	8147	rnbqkbnr/1pp1pppp/p7/8/2pPP3/5N2/PP3PPP/RNBQKB1R b KQkq - 0 4	1 d4 d5 2 c4 dxc4 3 Nf3 a6 4 e4
Queen's Pawn-Queen's Gambit Accepted-Normal Variation-Ericson/Slav Gambit	140029	9837	89989	rnbqkbnr/p1p1pppp/8/1p6/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4	1 d4 d5 2 c4 dxc4 3 Nf3 b5
Queen's Pawn-Queen's Gambit Accepted-Normal Variation-Gunsberg Defence	181268	18459	142775	rnbqkbnr/pp2pppp/8/2p5/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4	1 d4 d5 2 c4 dxc4 3 Nf3 c5
Queen's Gambit Accepted-Normal Variation-Gunsberg Defence-Prianishenmo Gambit	4508	511	2479	rnbqkb1r/pp3ppp/5n2/2ppP3/2p5/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 7	1 d4 d5 2 c4 dxc4 3 Nf3 c5 4 d5 Nf6 5 Nc3 e6 6 e4 exd5 7 e5
Queen's Pawn-Queen's Gambit Accepted-Normal Variation-Rosenthal Variation	850696	66751	593150	rnbqkbnr/ppp2ppp/4p3/8/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4	1 d4 d5 2 c4 dxc4 3 Nf3 e6
Queen's Pawn-Queen's Gambit Accepted-Normal Variation-Godes Variation	13082	1033	10166	r1bqkbnr/pppnpppp/8/8/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4	1 d4 d5 2 c4 dxc4 3 Nf3 Nd7
Queen's Pawn-Queen's Gambit Accepted-Normal Variation-Flohr/Winawer Defece	49721	3827	37722	rn1qkb1r/ppp1pppp/4bn2/8/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 1 5	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 Be6
Queen's Pawn-Queen's Gambit Accepted-Normal Variation-Janowski-Larsen Variation	119178	11017	89858	rn1qkb1r/ppp1pppp/5n2/8/2pP2b1/4PN2/PP3PPP/RNBQKB1R w KQkq - 1 5	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 Bg4
Queen's Pawn-Queen's Gambit Accepted-Normal Variation-Traditional System	375747	40675	293331	rnbqkb1r/ppp2ppp/4pn2/8/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 5	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6
Queen's Gambit Accepted-Normal Variation-Traditional System-Classical Defence	118133	22124	114341	rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP3PPP/RNBQK2R w KQkq - 0 6	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5
Queen's Gambit Accepted-Traditional System-Classical Defence-Main Line	52933	12443	52566	rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/4PN2/PP3PPP/RNBQ1RK1 w kq - 0 7	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 0-0 a6
Queen's Gambit Accepted-Classical Defence-Main Line-Rubinstein Variation	22884	5095	24249	rnbqkb1r/1p3ppp/p3pn2/2p5/P1BP4/4PN2/1P3PPP/RNBQ1RK1 b kq - 0 7	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 0-0 a6 7 a4
Queen's Gambit Accepted-Classical Defence-Main Line-Geller/Russian Gambit	588	85	453	rnbqkb1r/1p3ppp/p3pn2/2p5/2BPP3/5N2/PP3PPP/RNBQ1RK1 b kq - 0 7	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 0-0 a6 7 e4
Queen's Gambit Accepted-Classical Defence-Main Line-Alekhine System	7637	1295	7381	rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/4PN2/PP2QPPP/RNB2RK1 b kq - 1 7	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 0-0 a6 7 Qe2
Queen's Gambit Accepted-Classical Defence-Alekhine System-Except Main Line	4930	780	4855	rnbqkb1r/5ppp/p3pn2/1pp5/2BP4/4PN2/PP2QPPP/RNB2RK1 w kq - 0 8	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 0-0 a6 7 Qe2 b5
Queen's Gambit Accepted-Alekhine System-Except Main Line-Smyslov Variation	195	40	236	r2qk2r/1b1n1ppp/p2bpn2/1pp5/3P4/1BN1PN2/PP2QPPP/R1BR2K1 w kq - 6 11	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 0-0 a6 7 Qe2 b5 8 Bb3 Bb7 9 Rd1 Nbd7 10 Nc3 Bd6
Queen's Gambit Accepted-Traditional System-Classical Defence-Steinitz/Exchange Variation	22948	3562	20463	rnbqkb1r/pp3ppp/4pn2/8/2Bp4/4PN2/PP3PPP/RNBQ1RK1 w kq - 0 7	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 0-0 cxd4
Queen's Gambit Accepted-Traditional System-Classical Defence-Development Variation	23717	4538	21567	r1bqkb1r/pp3ppp/2n1pn2/2p5/2BP4/4PN2/PP3PPP/RNBQ1RK1 w kq - 2 7	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 0-0 Nc6
Queen's Gambit Accepted-Traditional System-Classical Defence-Primitive Furman Variation	1389	233	1123	rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP2QPPP/RNB1K2R b KQkq - 1 6	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 Qe2
Queen's Pawn-Queen's Gambit Accepted-Normal Variation-Smyslov Variation	24761	2386	19503	rnbqkb1r/ppp1pp1p/5np1/8/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 5	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 g6
Queen's Pawn-Queen's Gambit Accepted-Normal Variation-Showalter Variation	870766	68766	628835	rnbqkb1r/ppp1pppp/5n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 Nc3
Queen's Gambit Accepted-Normal Variation-Showalter Variation-Bogoljubov Defence	22427	2030	20568	rnbqkb1r/1pp1pppp/p4n2/8/2pPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 5	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 Nc3 a6 5 e4
Queen's Pawn-Queen's Gambit Accepted-Normal Variation-Mannheim Variation	48399	4565	38616	rnbqkb1r/ppp1pppp/5n2/8/Q1pP4/5N2/PP2PPPP/RNB1KB1R b KQkq - 3 4	1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 Qa4+
Queen's Pawn-Queen's Gambit Accepted-Accelerated Mannheim Variation	495972	42307	465106	rnbqkbnr/ppp1pppp/8/8/Q1pP4/8/PP2PPPP/RNB1KBNR b KQkq - 1 3	1 d4 d5 2 c4 dxc4 3 Qa4+
Queen's Pawn-Queen's Gambit Declined-Albin Countergambit	2936670	270342	2687994	rnbqkbnr/ppp2ppp/8/3pp3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3	1 d4 d5 2 c4 e5
Queen's Pawn-Queen's Gambit Declined-Albin Countergambit-Lasker Trap	58923	6979	126513	rnbqk1nr/ppp2ppp/8/4P3/1bP5/4p3/PP1B1PPP/RN1QKBNR w KQkq - 0 6	1 d4 d5 2 c4 e5 3 dxe5 d4 4 e3 Bb4+ 5 Bd2 dxe3
Queen's Pawn-Queen's Gambit Declined-Albin Countergambit-Normal Line	948064	92532	860937	rnbqkbnr/ppp2ppp/8/4P3/2Pp4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 4	1 d4 d5 2 c4 e5 3 dxe5 d4 4 Nf3
Queen's Gambit Declined-Albin Countergambit-Normal Line-Tartakower Defence	112869	8826	94582	rnbqkbnr/pp3ppp/8/2p1P3/2Pp4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 5	1 d4 d5 2 c4 e5 3 dxe5 d4 4 Nf3 c5
Queen's Gambit Declined-Albin Countergambit-Normal Line-Fianchetto Variation	161160	14902	122363	r1bqkbnr/ppp2ppp/2n5/4P3/2Pp4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 5	1 d4 d5 2 c4 e5 3 dxe5 d4 4 Nf3 Nc6 5 g3
Queen's Gambit Declined-Albin Countergambit-Normal Line-Alapin/Modern Line	83216	8019	64038	r1bqkbnr/ppp2ppp/2n5/4P3/2Pp4/5N2/PP1NPPPP/R1BQKB1R b KQkq - 3 5	1 d4 d5 2 c4 e5 3 dxe5 d4 4 Nf3 Nc6 5 Nbd2
Queen's Gambit Declined-Albin Countergambit-Alapin Variation-Krénosz Variation	375	59	408	r3k1nr/ppp1qppp/2n5/4P3/1bPp4/5N1P/PP1BPPP1/R2QKB1R w KQkq - 3 9	1 d4 d5 2 c4 e5 3 dxe5 d4 4 Nf3 Nc6 5 Nbd2 Bg4 5 h3 Bxf3 7 Nxf3 Bb4+ 8 Bd2 Qe7
Queen's Gambit Declined-Albin Countergambit-Alapin Variation-Janowski Variation	3336	239	2873	r1bqkbnr/ppp3pp/2n2p2/4P3/2Pp4/5N2/PP1NPPPP/R1BQKB1R w KQkq - 0 6	1 d4 d5 2 c4 e5 3 dxe5 d4 4 Nf3 Nc6 5 Nbd2 f6
Queen's Gambit Declined-Albin Countergambit-Alapin Variation-Balogh Variation	969	87	909	r1b1kbnr/ppp1qppp/2n5/4P3/2Pp4/5N2/PP1NPPPP/R1BQKB1R w KQkq - 4 6	1 d4 d5 2 c4 e5 3 dxe5 d4 4 Nf3 Nc6 5 Nbd2 Qe7
Queen's Pawn-Queen's Gambit Declined	25171602	2444192	21401698	rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3	1 d4 d5 2 c4 e6
Queen's Pawn-Queen's Gambit Declined-Queen's Knight Variation	14832679	1446294	12423941	rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3	1 d4 d5 2 c4 e6 3 Nc3
Queen's Pawn-Queen's Gambit Declined-Queen's Knight Variation-Janowski Variation	214516	22555	189999	rnbqkbnr/1pp2ppp/p3p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4	1 d4 d5 2 c4 e6 3 Nc3 a6
Queen's Pawn-Queen's Gambit Declined-Queen's Knight Variation-Alapin Variation	83565	6387	63153	rnbqkbnr/p1p2ppp/1p2p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4	1 d4 d5 2 c4 e6 3 Nc3 b6
Queen's Pawn-Queen's Gambit Declined-Queen's Knight Variation-Charousek/Petrosian Variation	207403	29631	201277	rnbqk1nr/ppp1bppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4	1 d4 d5 2 c4 e6 3 Nc3 Be7
Queen's Gambit Declined-Queen's Knight Variation-Charousek Variation-Miladinovic Gambit	528	41	460	rnbqk1nr/ppp1bppp/4p3/8/2PPp3/2N2P2/PP4PP/R1BQKBNR b KQkq - 0 5	1 d4 d5 2 c4 e6 3 Nc3 Be7 4 e4 dxe4 5 f3
Queen's Pawn-Queen's Gambit Declined-Queen's Knight Variation-Tarrasch Defence	1043903	104253	947003	rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4	1 d4 d5 2 c4 e6 3 Nc3 c5
Queen's Gambit Declined-Queen's Knight Variation-Tarrasch Defence-Von Hennig-Schara Gambit	78754	9104	80178	rnbqkbnr/pp3ppp/4p3/3P4/3p4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 cxd4
Queen's Gambit Declined-Tarrasch Defence-Von Hennig-Schara Gambit-von Hennig Gambit	6118	1033	9669	r2qkbnr/pp3ppp/2n1b3/3Q4/8/2N5/PP2PPPP/R1B1KBNR w KQkq - 1 8	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 cxd4 5 Qxd4 Nc6 6 Qd1 exd5 7 Qxd5 Be6
Queen's Gambit Declined-Queen's Knight Variation-Tarrasch Defence-Tarrasch Gambit	564	83	660	rnbqkbnr/p4ppp/8/1pP5/N2p4/8/PP2PPPP/R1BQKBNR w KQkq b6 0 7	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 dxc5 d4 6 Na4 b5
Queen's Gambit Declined-Queen's Knight Variation-Tarrasch Defence-Marshall Gambit	7849	705	7088	rnbqkbnr/pp3ppp/8/2pp4/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 5	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 e4
Queen's Gambit Declined-Queen's Knight Variation-Tarrasch Defence-2 Knights Variation	254913	30838	206921	rnbqkbnr/pp3ppp/8/2pp4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 5	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3
Queen's Gambit Declined-Tarrasch Defence-2 Knights Variation-Gruenfeld Gambit	678	71	354	r1bqkbnr/p4ppp/2n5/1pP5/N2p4/5N2/PP2PPPP/R1BQKB1R w KQkq b6 0 8	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 dxc5 d4 7 Na4 b5
Queen's Gambit Declined-Tarrasch Defence-2 Knights Variation-Schlechter-Rubinstein System	57760	10241	51941	r1bqkbnr/pp3ppp/2n5/2pp4/3P4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq - 0 6	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3
Queen's Gambit Declined-2 Knights Variation-Schlechter-Rubinstein System-Folkestone/Swedish Variation	5287	682	4291	r1bqkbnr/pp3ppp/2n5/3p4/2pP4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq - 0 7	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 c4
Queen's Gambit Declined-Schlechter-Rubinstein System-Folkestone Variation-Rey Ardid/Central Break Variation	86	9	77	r1bqkbnr/pp3ppp/2n5/3p4/2pPP3/2N2NP1/PP3P1P/R1BQKB1R b KQkq - 0 7	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 c4 7 e4
Queen's Gambit Declined-2 Knights Variation-Schlechter-Rubinstein System-Prague Variation	87958	15077	75150	r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq - 1 7	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6
Queen's Gambit Declined-Schlechter-Rubinstein System-Prague Variation-Main Line	46734	8486	42343	r1bqk2r/pp2bppp/2n2n2/2pp4/3P4/2N2NP1/PP2PPBP/R1BQK2R w KQkq - 3 8	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7
Queen's Gambit Declined-Prague Variation-Main Line-Classical Variation	100117	17619	84134	r1bq1rk1/pp2bppp/2n2n2/2pp4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 5 9	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7 8 0-0 0-0
Queen's Gambit Declined-Prague Variation-Classical Variation-Carlsbad Variation	40032	7716	35245	r1bq1rk1/pp2bppp/2n2n2/2pp2B1/3P4/2N2NP1/PP2PPBP/R2Q1RK1 b - - 6 9	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7 8 0-0 0-0 9 Bg5
Queen's Gambit Declined-Classical Variation-Carlsbad Variation-Endgame Variation	11160	1870	8791	r2q1rk1/pp2bppp/2n1bn2/2pp2B1/3P4/2N2NP1/PP2PPBP/R2Q1RK1 w - - 7 10	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7 8 0-0 0-0 9 Bg5 Be6
Queen's Gambit Declined-Carlsbad Variation-Endgame Variation-Stoltz Variation	277	53	271	r2q1rk1/p3bppp/1pn1bn2/2pp2B1/3P4/2N2NP1/PP2PPBP/2RQ1RK1 w - - 0 11	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7 8 0-0 0-0 9 Bg5 Be6 10 Rc1 b6
Queen's Gambit Declined-Carlsbad Variation-Endgame Variation-Bogoljubov Variation	1029	188	1003	r2q1rk1/pp2bppp/2n1bn2/3p2B1/2pP4/2N2NP1/PP2PPBP/2RQ1RK1 w - - 0 11	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7 8 0-0 0-0 9 Bg5 Be6 10 Rc1 c4
Queen's Gambit Declined-Classical Variation-Carlsbad Variation-Advance Variation	13933	3005	14417	r1bq1rk1/pp2bppp/2n2n2/3p2B1/2pP4/2N2NP1/PP2PPBP/R2Q1RK1 w - - 0 10	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7 8 0-0 0-0 9 Bg5 c4
Queen's Gambit Declined-Classical Variation-Carlsbad Variation-Spassky Variation	1125	207	1122	r2q1rk1/pp2bpp1/2n2n1p/3p4/3N2b1/2N1B1P1/PP2PPBP/R2Q1RK1 w - - 2 12	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7 8 0-0 0-0 9 Bg5 cxd4 10 Nxd4 h6 11 Be3 Bg4
Queen's Gambit Declined-Classical Variation-Carlsbad Variation-Chandler Variation	73	18	66	r2qr1k1/pp2bpp1/2n1bn1p/3p4/3N4/2N1B1P1/PP2PPBP/2RQ1RK1 w - - 4 13	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7 8 0-0 0-0 9 Bg5 cxd4 10 Nxd4 h6 11 Be3 Re8 12 Rc1 Be6
Queen's Gambit Declined-Classical Variation-Carlsbad Variation-Petursson Variation	819	166	632	r1bqr1k1/pp2bppp/2n2n2/3p2B1/3N4/2N3P1/PP2PPBP/R2Q1RK1 w - - 1 11	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7 8 0-0 0-0 9 Bg5 cxd4 10 Nxd4 Re8
Queen's Gambit Declined-Prague Variation-Classical Variation-Réti Variation	7761	1405	5621	r1bq1rk1/pp3ppp/2n2n2/2bp4/N7/5NP1/PP2PPBP/R1BQ1RK1 b - - 1 10	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7 8 0-0 0-0 9 dxc5 Bxc5 10 Na4
Queen's Gambit Declined-Prague Variation-Classical Variation-Classical Tarrasch Gambit	2736	331	2790	r1bq1rk1/pp2bppp/2n2n2/2P5/3p4/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 0 10	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7 8 0-0 0-0 9 dxc5 d4
Queen's Gambit Declined-Schlechter-Rubinstein System-Prague Variation-Wagner Variation	10050	1050	7362	r2qkb1r/pp3ppp/2n2n2/2pp4/3P2b1/2N2NP1/PP2PPBP/R1BQK2R w KQkq - 3 8	1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Bg4
Queen's Gambit Declined-Queen's Knight Variation-Tarrasch Defence-Symmetrical Variation	616226	69791	598766	r1bqkb1r/pp3ppp/2n1pn2/2pp4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 3 6	1 d4 d5 2 c4 e6 3 Nc3 c5 4 e3 Nf6 5 Nf3 Nc6
Queen's Pawn-Queen's Gambit Declined-Queen's Knight Variation-Accelerated Semi-Slav/Old Semi-Slav Defence	3766813	361527	3211495	rnbqkbnr/pp3ppp/2p1p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4	1 d4 d5 2 c4 e6 3 Nc3 c6
Queen's Gambit Declined-Queen's Knight Variation-Accelerated Semi-Slav Defence-Portisch Gambit	4029	324	2868	rnbqkbnr/pp4pp/2p1p3/3p1p2/2PP2P1/2N1P3/PP3P1P/R1BQKBNR b KQkq - 0 5	1 d4 d5 2 c4 e6 3 Nc3 c6 4 e3 f5 5 g4
Queen's Gambit Declined-Queen's Knight Variation-Accelerated Semi-Slav Defence-Marshall Gambit	508680	42829	374986	rnbqkbnr/pp3ppp/2p1p3/3p4/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 4	1 d4 d5 2 c4 e6 3 Nc3 c6 4 e4
Queen's Gambit Declined-Accelerated Semi-Slav Defence-Marshall Gambit-Gunderam Gambit	7706	490	5005	rnbqkbnr/pp3ppp/2p1p3/8/2PPp3/2N2P2/PP4PP/R1BQKBNR b KQkq - 0 5	1 d4 d5 2 c4 e6 3 Nc3 c6 4 e4 dxe4 5 f3
Queen's Gambit Declined-Accelerated Semi-Slav Defence-Marshall Gambit-Main Line	27482	3067	24509	rnbqk1nr/pp3ppp/2p1p3/8/1bPPN3/8/PP1B1PPP/R2QKBNR b KQkq - 2 6	1 d4 d5 2 c4 e6 3 Nc3 c6 4 e4 dxe4 5 Nxe4 Bb4+ 6 Bd2
Queen's Gambit Declined-Marshall Gambit-Main Line-Slav Gambit	20877	2292	18828	rnb1k1nr/pp3ppp/2p1p3/8/1BP1q3/8/PP3PPP/R2QKBNR w KQkq - 0 8	1 d4 d5 2 c4 e6 3 Nc3 c6 4 e4 dxe4 5 Nxe4 Bb4+ 6 Bd2 Qxd4 7 Bxb4 Qxe4+
Queen's Gambit Declined-Marshall Gambit-Slav Gambit-Tolush Variation	345	51	468	rnb1k1nr/pp3ppp/4p3/2B5/2P5/8/PP2BPqP/R2QK1NR w KQkq - 0 10	1 d4 d5 2 c4 e6 3 Nc3 c6 4 e4 dxe4 5 Nxe4 Bb4+ 6 Bd2 Qxd4 7 Bxb4 Qxe4+ 8 Be2 c5 9 Bxc5 Qxg2
Queen's Gambit Declined-Accelerated Semi-Slav Defence-Marshall Gambit-Forgotten Variation	20247	2756	18618	rnbqk1nr/pp3ppp/2p1p3/8/1bPP4/2N5/PP3PPP/R1BQKBNR b KQkq - 2 6	1 d4 d5 2 c4 e6 3 Nc3 c6 4 e4 dxe4 5 Nxe4 Bb4+ 6 Nc3
Queen's Gambit Declined-Queen's Knight Variation-Accelerated Semi-Slav Defence-Noteboom Variation	382023	34786	365334	rnbqkbnr/pp3ppp/2p1p3/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5	1 d4 d5 2 c4 e6 3 Nc3 c6 4 Nf3 dxc4
Queen's Gambit Declined-Accelerated Semi-Slav Defence-Noteboom Variation-Abrahams Variation	64089	7234	69992	rnbqk1nr/p4ppp/2p1p3/1p6/PbpP4/2N1PN2/1P3PPP/R1BQKB1R w KQkq - 0 7	1 d4 d5 2 c4 e6 3 Nc3 c6 4 Nf3 dxc4 5 a4 Bb4 6 e3 b5 (7 Bd2 a5) (8 axb5 Bxc3 9 Bxc3 cxb5 10 b3 Bb7)
Queen's Gambit Declined-Queen's Knight Variation-Accelerated Semi-Slav Defence-Noteboom Variation-Junge Variation	1217	118	1605	rnb1k1nr/p4ppp/1qp1p3/1p6/PbpP4/2N1PN2/1P1B1PPP/R2QKB1R w KQkq - 2 8	1 d4 d5 2 c4 e6 3 Nc3 c6 4 Nf3 dxc4 5 a4 Bb4 6 e3 b5 7 Bd2 Qb6
Queen's Gambit Declined-Queen's Knight Variation-Accelerated Semi-Slav Defence-Noteboom Variation-Koomen Variation	258	44	361	rnb1k1nr/p3qppp/2p1p3/1p6/PbpP4/2N1PN2/1P1B1PPP/R2QKB1R w KQkq - 2 8	1 d4 d5 2 c4 e6 3 Nc3 c6 4 Nf3 dxc4 5 a4 Bb4 6 e3 b5 7 Bd2 Qe7
Queen's Gambit Declined-Accelerated Semi-Slav Defence-Noteboom Variation-Anti-Noteboom Variation	27456	2343	24069	rnbqkbnr/pp3ppp/2p1p3/6B1/2pP4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 1 5	1 d4 d5 2 c4 e6 3 Nc3 c6 4 Nf3 dxc4 5 Bg5
Queen's Gambit Declined-Noteboom Variation-Anti-Noteboom Variation-Belyavsky Line	7378	575	6348	rnbqkbnr/pp4pp/2p1pp2/6B1/2pP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6	1 d4 d5 2 c4 e6 3 Nc3 c6 4 Nf3 dxc4 5 Bg5 f6
Queen's Pawn-Queen's Gambit Declined-Queen's Knight Variation-Normal Defence	13475016	1353765	11627315	rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4	1 d4 d5 2 c4 e6 3 Nc3 Nf6
Queen's Gambit Declined-Queen's Knight Variation-Normal Defence-Harrwitz Attack	892854	83913	768885	rnbqkb1r/ppp2ppp/4pn2/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR b KQkq - 3 4	1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bf4
Queen's Gambit Declined-Queen's Knight Variation-Normal Defence-Modern/Semi-Pillsbury Variation	4307707	444637	3722214	rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq - 3 4	1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5
